,champion,about,text,impact
0,Ahri,Fox-Fire,Mana cost increased to 30 from 25.,-1.0
1,Ahri,Fox-Fire,Base damage reduced to 50 / 75 / 100 / 125 / 150 from 60 / 85 / 110 / 135 / 160.,1.0
2,Ahri,Charm,Mana cost increased to 60 from 50.,-1.0
3,Caitlyn,Piltover Peacemaker,Bug Fix: Now properly deals damage even if the caster had a  spell shield via  Banshee's Veil or  Edge of Night.,0.0
12,Gwen,Thousand Cuts,Maximum AP ratio against monsters reduced to 15% AP from 25% AP.,1.0
13,Gwen,Skip 'n Slash,Bonus attack range reduced to 50 from 100.,1.0
14,Karthus,General,Bug Fix: Can no longer bypass the spawn boundaries before 15 seconds into the game on Summoner's Rift after a certain condition.,0.0
15,Kennen,Electrical Surge,On-hit base damage increased to 35 / 45 / 55 / 65 / 75 from 20 / 30 / 40 / 50 / 60.,1.0
16,Kennen,Electrical Surge,On-hit AP ratio increased to 35% AP from 25% AP.,1.0
17,Kennen,Electrical Surge,On-hit bonus AD ratio increased to 80 / 90 / 100 / 110 / 120% bonus AD from 60 / 70 / 80 / 90 / 100%.,1.0
18,Master Yi,Alpha Strike,Base damage changed to 30 / 60 / 90 / 120 / 150 from 25 / 60 / 95 / 130 / 165.,1.0
19,Master Yi,Alpha Strike,AD ratio reduced to 60% AD from 90% AD.,1.0
20,Master Yi,Alpha Strike,Critical strike bonus damage AD ratio reduced to (30% + 10.5%) AD from (54% + 18.9%) AD.,1.0
21,Master Yi,Alpha Strike,Subsequent hits critical strike bonus damage AD ratio reduced to (7.5% + 2.625%) AD from (13.5% + 4.725%) AD.,1.0
22,Master Yi,Alpha Strike,New Effect: Cooldown reduction per basic attack now scales down with ability haste.,1.0
23,Master Yi,Alpha Strike,"New Effect: Now applies on-hit effects, reduced to 25% for subsequent hits.",1.0
24,Master Yi,Alpha Strike,Does not apply  Alpha Strike's cooldown reduction or stack  Double Strike.,1.0
25,Master Yi,Wuju Style,Base bonus true damage reduced to 30 / 38 / 46 / 54 / 62 from 30 / 40 / 50 / 60 / 70.,1.0
26,Master Yi,Wuju Style,New Effect: Duration is now paused during  Alpha Strike.,1.0
27,Master Yi,Wuju Style,New Effect: Can now be cast during  Alpha Strike.,1.0
28,Master Yi,Highlander,New Effect: Duration is now paused during  Alpha Strike.,1.0
29,Master Yi,Highlander,New Effect: Can now be cast during  Alpha Strike.,1.0
30,Miss Fortune,Strut,New Effect: Now gains the increased bonus movement speed upon respawning.,1.0
31,Ornn,Living Forge,"Bug Fix: Now is properly able to upgrade items for an allied  Viego, even if he had possessed an enemy champion with  Sovereign's Domination at one point.",0.0
32,Rek'Sai,Queen's Wrath,Bug Fix: Cast bar HUD now displays correctly.,0.0
33,Renata Glasc,Hostile Takeover,Bug Fix:  Power Chord empowered basic attack is now properly consumed and applied when used against allied units while  Berserked.,0.0
34,Renata Glasc,Hostile Takeover,Bug Fix:  Cheap Shot now properly triggers and deals its damage for  Berserked champions.,0.0
35,Renata Glasc,Hostile Takeover,Bug Fix: Caster of  The Show Stopper no longer becomes locked out of their basic abilities they are performing the ability while  Berserked and their target dies in the process.,0.0
36,Renata Glasc,Hostile Takeover,Bug Fix: Several issues have been fixed where champions with certain items and runes would incorrectly receive kill credit and gold for killing their allies while  Berserked.,0.0
37,Rumble,Electro Harpoon,Bug Fix: Overheated state no longer visually disappears father than it should be if it was triggered by Electro Harpoon.,0.0
38,Samira,Stats,Health growth increased to 94 from 88.,1.0
39,Samira,Stats,Armor growth increased to 3.5 from 3.,1.0
40,Samira,Inferno Trigger,Static cooldown reduced to 5 seconds from 8.,-1.0
41,Seraphine,Surround Sound,Mana cost reduced to 50 / 60 / 70 / 80 / 90 from 50 / 70 / 90 / 110 / 130.,-1.0
42,Seraphine,Surround Sound,Cooldown changed to 28 / 26 / 24 / 22 / 20 seconds from 26 / 25 / 24 / 23 / 22.,-1.0
