champion,about,text,impact
Ahri,Fox-Fire,Mana cost increased to 30 from 25.,-1.0
Ahri,Fox-Fire,Base damage reduced to 50 / 75 / 100 / 125 / 150 from 60 / 85 / 110 / 135 / 160.,1.0
Ahri,Charm,Mana cost increased to 60 from 50.,-1.0
Caitlyn,Piltover Peacemaker,Bug Fix: Now properly deals damage even if the caster had a  spell shield via  Banshee's Veil or  Edge of Night.,0.0
Elise,General,Updated visual effects.,-2.0
Elise,Original Elise,Complete overhaul.,-2.0
Elise,"Death Blossom Elise,  Victorious Elise,  Blood Moon Elise,  SKT T1 Elise",Same as new base.,-2.0
Elise,Super Galaxy Elise,Minor changes.,-2.0
Elise,Super Galaxy Elise, Rappel,-2.0
Elise,Super Galaxy Elise,New VFX.,-2.0
Elise,Bewitching Elise,Minor changes.,-2.0
Elise,Withered Rose Elise,Minimal tweaks.,-2.0
Gwen,Thousand Cuts,Maximum AP ratio against monsters reduced to 15% AP from 25% AP.,1.0
Gwen,Skip 'n Slash,Bonus attack range reduced to 50 from 100.,1.0
Karthus,General,Bug Fix: Can no longer bypass the spawn boundaries before 15 seconds into the game on Summoner's Rift after a certain condition.,0.0
Kennen,Electrical Surge,On-hit base damage increased to 35 / 45 / 55 / 65 / 75 from 20 / 30 / 40 / 50 / 60.,1.0
Kennen,Electrical Surge,On-hit AP ratio increased to 35% AP from 25% AP.,1.0
Kennen,Electrical Surge,On-hit bonus AD ratio increased to 80 / 90 / 100 / 110 / 120% bonus AD from 60 / 70 / 80 / 90 / 100%.,1.0
Master Yi,Alpha Strike,Base damage changed to 30 / 60 / 90 / 120 / 150 from 25 / 60 / 95 / 130 / 165.,1.0
Master Yi,Alpha Strike,AD ratio reduced to 60% AD from 90% AD.,1.0
Master Yi,Alpha Strike,Critical strike bonus damage AD ratio reduced to (30% + 10.5%) AD from (54% + 18.9%) AD.,1.0
Master Yi,Alpha Strike,Subsequent hits critical strike bonus damage AD ratio reduced to (7.5% + 2.625%) AD from (13.5% + 4.725%) AD.,1.0
Master Yi,Alpha Strike,New Effect: Cooldown reduction per basic attack now scales down with ability haste.,1.0
Master Yi,Alpha Strike,"New Effect: Now applies on-hit effects, reduced to 25% for subsequent hits.",1.0
Master Yi,Alpha Strike,Does not apply  Alpha Strike's cooldown reduction or stack  Double Strike.,1.0
Master Yi,Wuju Style,Base bonus true damage reduced to 30 / 38 / 46 / 54 / 62 from 30 / 40 / 50 / 60 / 70.,1.0
Master Yi,Wuju Style,New Effect: Duration is now paused during  Alpha Strike.,1.0
Master Yi,Wuju Style,New Effect: Can now be cast during  Alpha Strike.,1.0
Master Yi,Highlander,New Effect: Duration is now paused during  Alpha Strike.,1.0
Master Yi,Highlander,New Effect: Can now be cast during  Alpha Strike.,1.0
