champion,skin,release
Aatrox,Blood Moon,2019-01-10
Aatrox,Justicar,2013-06-12
Aatrox,Mecha,2014-07-23
Aatrox,Odyssey,2020-10-15
Aatrox,Original,2013-06-12
Aatrox,Prestige Blood Moon,2019-01-10
Aatrox,Sea Hunter,2015-07-22
Aatrox,Victorious,2019-11-21
Ahri,Academy,2015-08-26
Ahri,Arcade,2016-08-24
Ahri,Challenger,2015-01-15
Ahri,Coven,2021-08-12
Ahri,Dynasty,2011-12-14
Ahri,Elderwood,2019-08-29
Ahri,Foxfire,2012-07-11
Ahri,KDA,2018-11-03
Ahri,KDA ALL OUT,2020-10-29
Ahri,Midnight,2011-12-14
Ahri,Original,2011-12-14
Ahri,Popstar,2013-11-25
Ahri,Prestige KDA,2019-03-07
Ahri,Spirit Blossom,2020-08-06
Ahri,Star Guardian,2017-09-06
Akali,All-star,2010-06-24
Akali,Blood Moon,2011-06-07
Akali,Crime City Nightmare,2021-08-26
Akali,Headhunter,2015-03-23
Akali,Infernal,2010-05-11
Akali,KDA,2018-11-03
Akali,KDA ALL OUT,2020-10-29
Akali,Nurse,2011-01-04
Akali,Original,2010-05-11
Akali,PROJECT,2019-08-01
Akali,Prestige KDA,2018-12-06
Akali,Sashimi,2016-09-07
Akali,Silverfang,2011-11-29
Akali,Stinger,2010-05-11
Akali,True Damage,2019-11-10
Akshan,Crystal Rose,2022-02-10
Akshan,Cyber Pop,2021-07-22
Akshan,Original,2021-07-22
Alistar,Black,2009-06-13
Alistar,Blackfrost,2020-03-05
Alistar,Conqueror,2019-04-30
Alistar,Golden,2010-01-13
Alistar,Hextech,2018-03-26
Alistar,Infernal,2012-07-13
Alistar,Longhorn,2011-02-16
Alistar,Lunar Beast,2021-02-04
Alistar,Marauder,2015-09-30
Alistar,Matador,2010-05-11
Alistar,Moo Cow,2017-03-29
Alistar,Original,2009-02-21
Alistar,SKT T1,2016-08-17
Alistar,Sweeper,2014-06-18
Alistar,Unchained,2011-09-22
Amumu,Almost-Prom King,2011-02-07
Amumu,Emumu,2010-08-01
Amumu,Hextech,2019-09-26
Amumu,Infernal,2018-10-16
Amumu,Little Knight,2011-07-18
Amumu,Original,2009-06-25
Amumu,Pharaoh,2010-02-02
Amumu,Porcelain,2022-01-26
Amumu,Pumpkin Prince,2020-10-22
Amumu,Re-Gifted,2010-12-14
Amumu,Sad Robot,2012-05-28
Amumu,Surprise Party,2015-03-31
Amumu,Vancouver,2010-02-12
Anivia,Bird of Prey,2010-05-02
Anivia,Blackfrost,2013-04-29
